Column Name,Column Description
ID,Unique indexed identifier. No relation to data.
Building Code,"A unique identifier of a physical structure housing different types of organizations, schools and programs."
DBN,"The unique school code represented as a concatenation of the school district (D), school borough (B) and school number (N)."
Location Name,The official name of the school
Location Code,A four-character location identifier. The code consists of the concatenation of the borough code (first character) followed by the school number or organization identifier.
Address,The address of the school
Borough,The Borough in which the School is located
Geographical District Code,A 2 digit code that identifies one of 32 Community School Districts in NYC.
Register,Total number of students active on the school's register
Building Name,The name of the building the school is located in
# Schools,Number of schools in the building
Schools in Building,Name of the school located in the building
Major N,Number of major crimes
Oth N,Number of other crimes
NoCrim N,Number of non-criminal crimes
Prop N,Number of property crimes
Vio N,Number of violent crimes
ENGroupA,Group name that the building population falls under
RangeA,Building population
AvgOfMajor N,Average of major crimes for all buildings that have the same EnGroupA/Range A
AvgOfOth N,Average of other crimes for all buildings that have the same EnGroupA/Range A
AvgOfNoCrim N,Average of non-criminal crimes for all buildings that have the same EnGroupA/Range A
AvgOfProp N,Average of property crimes for all buildings that have the same EnGroupA/Range A
AvgOfVio N,Average of violent crimes for all buildings that have the same EnGroupA/Range A
